File,Component,Button ID (infoPressed),Tip Text
site-visit-details.component.ts,Site Visit Details,snow-in-tree-tops,"Reporting whether or not snow is present on the ground or treetops is useful to scientists who use satellite images to study plant cover. Since sunlight reflected off snow can look the same as bright green leaves in these images, your reports can eliminate some of the guesswork in interpreting satellite images. By comparing the ground observations you take at your site to a satellite image of the area that includes your site, these scientists can ""ground truth"" or ""validate"" the images, and therefore become better at interpreting other images across the globe."
site-visit-details.component.ts,Site Visit Details,percent-ground-covered,"Reporting whether or not snow is present on the ground or treetops is useful to scientists who use satellite images to study plant cover. Since sunlight reflected off snow can look the same as bright green leaves in these images, your reports can eliminate some of the guesswork in interpreting satellite images. By comparing the ground observations you take at your site to a satellite image of the area that includes your site, these scientists can ""ground truth"" or ""validate"" the images, and therefore become better at interpreting other images across the globe."
site-visit-details.component.ts,Site Visit Details,animal-survey-method,"Choose your observation method: Incidental (chance sighting while not specifically searching), Stationary (standing or sitting at a single point), Walking (a single pass or transect through your site) or Area search (multiple passes through your site)."
site-visit-details.component.ts,Site Visit Details,time-spent-searching-animals,"If you are observing animals, report the time you spent searching for animals (the recommended search time is 3 minutes). There is no need to report time for incidental sightings."
site-visit-details.component.ts,Site Visit Details,time-spent-in-travel,Please report your contribution of time in travel to help us estimate our program's volunteer effort.
site-visit-details.component.ts,Site Visit Details,time-observing,Please report your contribution of time observing to help us estimate our program's volunteer effort.
site-visit-details.component.ts,Site Visit Details,site-comments,Please report any additional comments about your site visit.
site-visit-details.component.ts,Site Visit Details,num-observers-looking-for-animals,"Please report the number of observers searching for animals during this site visit. When more than one observer contributes to the search for and count of individual animals on a site visit, it affects the statistical probability of detection during the time spent searching. This is important to take into account for some types of analysis of animal observation data."
animals-checklist.component.ts,Animals Checklist,animal-survey-method,"Choose your observation method: Incidental (chance sighting while not specifically searching), Stationary (standing or sitting at a single point), Walking (a single pass or transect through your site) or Area search (multiple passes through your site)."
animals-checklist.component.ts,Animals Checklist,time-spent-searching-animals,"If you are observing animals, report the time you spent searching for animals (the recommended search time is 3 minutes). There is no need to report time for incidental sightings."
animals-checklist.component.ts,Animals Checklist,num-observers-looking-for-animals,"Please report the number of observers searching for animals during this site visit. When more than one observer contributes to the search for and count of individual animals on a site visit, it affects the statistical probability of detection during the time spent searching. This is important to take into account for some types of analysis of animal observation data."
settings.component.ts,Settings,wifi-only,"Sync Over Wi-Fi Only - With this setting enabled, Nature's Notebook will only attempt to send data back to the NPN when the phone is actively connected to  Wi-Fi. This is useful if you have a low bandwidth phone plan or you spend a lot of time recording data in remote places without a connection. This is enabled by default."
settings.component.ts,Settings,include-time,"Include Time in Dates Observed - With this setting enabled, you can recod the time of day in addition to the date, when making observations. This is useful if you observe a lot of animals and want to capture the exact time of day. This is disabled by default."
